ActualLengthOfPlan,NumberOfQtrWithoutCourses,NumberOfQtrWithCourses,TotalNumberOfCourses,AvgNumberOfCoursesPerQuarter,TotalNumberOfYears,NumberofYearswithCOurse,GapDelta
0.40441583639685874,0.721842079018396,0.18845669462179848,0.8844932460614384,0.7936555025227432,0.40915571058938977,0.19860286272753389,0.7344891653436404
-0.12163608777213739,-0.10148803904262378,-0.09673101496647027,0.16343896938091793,0.34107669362009074,-0.11354294982570315,-0.08347076839275591,-0.07748559103751466
-0.38466204985663544,-0.10148803904262378,-0.381918724554739,-0.7979667328597762,-0.08635884812130427,-0.4271621460747587,-0.4219591257371035,-0.07748559103751466
0.9304677605658549,0.721842079018396,0.758832113798336,1.6055475227419589,0.9109907492752835,0.9318543710044827,0.7627501249681135,0.7344891653436404
-0.6476880119411335,0.721842079018396,-0.9522941437312765,-1.0383181584199497,0.34107669362009074,-0.6362416102407961,-0.986106387977683,0.5720942140674092
0.40441583639685874,-0.10148803904262378,0.47364440421006726,-1.2786695839801232,-1.9563893432399058,0.40915571058938977,0.4806764938478237,-0.07748559103751466
0.40441583639685874,0.721842079018396,0.18845669462179848,0.6441418205012649,0.5422228309101581,0.40915571058938977,0.19860286272753389,0.7344891653436404
0.40441583639685874,0.721842079018396,0.18845669462179848,0.16343896938091793,0.03935748768498781,0.40915571058938977,0.19860286272753389,0.7344891653436404
-1.1737399361101295,-0.10148803904262378,-1.2374818533195453,-0.7979667328597762,0.7685122353614847,-1.158940270655889,-1.211765292873915,-0.07748559103751466
-1.4367658981946276,-0.9248181571036436,-1.2374818533195453,-1.2786695839801232,0.34107669362009074,-1.4725594669049447,-1.211765292873915,-1.0518552986949008
-0.6476880119411335,-0.10148803904262378,-0.6671064341430077,-1.0383181584199497,-0.08635884812130427,-0.6362416102407961,-0.6476180306333355,-0.07748559103751466
0.40441583639685874,0.721842079018396,0.18845669462179848,0.8844932460614384,0.7936555025227432,0.40915571058938977,0.19860286272753389,0.7344891653436404
0.40441583639685874,-0.10148803904262378,0.47364440421006726,0.6441418205012649,0.18078836546706736,0.40915571058938977,0.4806764938478237,-0.07748559103751466
0.40441583639685874,0.721842079018396,0.18845669462179848,-0.07691245617925559,-0.21207518392759636,0.40915571058938977,0.19860286272753389,0.7344891653436404
0.40441583639685874,0.721842079018396,0.18845669462179848,0.4037903949410914,0.29079015929757296,0.40915571058938977,0.19860286272753389,0.7344891653436404
-0.6476880119411335,0.721842079018396,-0.9522941437312765,-1.2786695839801232,-0.08635884812130427,-0.6362416102407961,-0.986106387977683,0.5720942140674092
0.40441583639685874,0.721842079018396,0.18845669462179848,0.16343896938091793,0.03935748768498781,0.40915571058938977,0.19860286272753389,0.7344891653436404
0.40441583639685874,0.721842079018396,0.18845669462179848,0.8844932460614384,0.7936555025227432,0.40915571058938977,0.19860286272753389,0.7344891653436404
0.40441583639685874,0.721842079018396,0.18845669462179848,0.16343896938091793,0.03935748768498781,0.40915571058938977,0.19860286272753389,0.7344891653436404
1.719545646819349,-0.10148803904262378,1.8995829521514112,1.8458989483021324,-0.6692254959504792,1.715902361627122,1.8910446494492725,-0.07748559103751466
1.982571608903847,-0.10148803904262378,2.18477066173968,2.086250373862306,-0.9412299316040933,1.9772516918346685,2.1731182805695624,-0.07748559103751466
0.40441583639685874,0.721842079018396,0.18845669462179848,0.4037903949410914,0.29079015929757296,0.40915571058938977,0.19860286272753389,0.7344891653436404
-0.6476880119411335,0.721842079018396,-0.9522941437312765,-1.5190210095402965,-0.08635884812130427,-0.6362416102407961,-0.986106387977683,0.5720942140674092
0.40441583639685874,0.721842079018396,0.18845669462179848,0.4037903949410914,0.29079015929757296,0.40915571058938977,0.19860286272753389,0.7344891653436404
0.40441583639685874,0.721842079018396,0.18845669462179848,-1.2786695839801232,-1.469238541990522,0.40915571058938977,0.19860286272753389,0.7344891653436404
0.40441583639685874,0.721842079018396,0.18845669462179848,0.8844932460614384,0.7936555025227432,0.40915571058938977,0.19860286272753389,0.7344891653436404
0.9304677605658549,-0.10148803904262378,1.0440198233866047,-1.0383181584199497,-2.834158759315984,0.9318543710044827,1.0448237560884033,-0.07748559103751466
0.40441583639685874,0.721842079018396,0.18845669462179848,0.4037903949410914,0.29079015929757296,0.40915571058938977,0.19860286272753389,0.7344891653436404
-0.38466204985663544,-0.10148803904262378,-0.381918724554739,-0.3172638817394291,0.34107669362009074,-0.4271621460747587,-0.4219591257371035,-0.07748559103751466
-1.4367658981946276,-0.10148803904262378,-1.5226695629078142,-1.2786695839801232,0.7685122353614847,-1.4725594669049447,-1.5502536502182627,-0.07748559103751466
-1.6997918602791258,-1.7481482751646633,-1.2374818533195453,-1.5190210095402965,-0.08635884812130427,-1.6816389310709818,-1.211765292873915,-1.7014351037998248
-1.4367658981946276,-0.10148803904262378,-1.5226695629078142,-1.5190210095402965,0.34107669362009074,-1.4725594669049447,-1.5502536502182627,-0.07748559103751466
0.6674417984813568,-0.10148803904262378,0.758832113798336,0.6441418205012649,-0.2288373620351029,0.6705050407969363,0.7627501249681135,-0.07748559103751466
0.40441583639685874,0.721842079018396,0.18845669462179848,0.4037903949410914,0.29079015929757296,0.40915571058938977,0.19860286272753389,0.7344891653436404
-0.6476880119411335,0.721842079018396,-0.9522941437312765,-0.7979667328597762,0.34107669362009074,-0.6362416102407961,-0.986106387977683,0.5720942140674092
-0.6476880119411335,-0.10148803904262378,-0.6671064341430077,-0.7979667328597762,-0.08635884812130427,-0.6362416102407961,-0.6476180306333355,-0.07748559103751466
